item_id,title,creator,date,collection,material,technique,worktype,description,location,detail_url,image_url,local_image_path,raw_metadata
59,Woman wearing glasses,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Portrait of a middle aged woman looking to the left of the portrait. Her hair is in a bird's nest. She is wearing glasses, behind which a very small part of her eye is visible. She has a straight Roman nose. Her right hand is holding the side of her chin and she is wearing a turtleneck. She seems to","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/59/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:59/full/730,/0/default.jpg",margo_data/images/0059.jpg,"{""title"": ""Woman wearing glasses"", ""titlea"": ""امرأة ترتدي النظارات"", ""titleb"": ""Femme portant des lunettes"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Portrait of a middle aged woman looking to the left of the portrait. Her hair is in a bird's nest. She is wearing glasses, behind which a very small part of her eye is visible. She has a straight Roman nose. Her right hand is holding the side of her chin and she is wearing a turtleneck. She seems to be lost in thought."", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""53.5 cm x 38.7 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Woman wearing glasses"", ""og:description"": ""Portrait of a middle aged woman looking to the left of the portrait. Her hair is in a bird's nest. She is wearing glasses, behind which a very small part of her eye is visible. She has a straight Roman nose. Her right hand is holding the side of her chin and she is wearing a turtleneck. She seems to be lost in thought."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:59/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/59/"", ""og:type"": ""website""}"
60,Thinking sadly,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Portrait of a young woman, looking at a point to the right of the portrait with a sad or thoughtful expression. She has long, straight, dark hair, and very large, expressive eyes, a broad, short nose, and round, thick lips. Her hand is curled next to her chin. This is a charcoal portrait.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/60/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:60/full/730,/0/default.jpg",margo_data/images/0060.jpg,"{""title"": ""Thinking sadly"", ""titlea"": ""التفكير بحزن"", ""titleb"": ""Penser tristement"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Portrait of a young woman, looking at a point to the right of the portrait with a sad or thoughtful expression. She has long, straight, dark hair, and very large, expressive eyes, a broad, short nose, and round, thick lips. Her hand is curled next to her chin. This is a charcoal portrait."", ""descra"": ""1981, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""51.2cm x 39.8 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Thinking sadly"", ""og:description"": ""Portrait of a young woman, looking at a point to the right of the portrait with a sad or thoughtful expression. She has long, straight, dark hair, and very large, expressive eyes, a broad, short nose, and round, thick lips. Her hand is curled next to her chin. This is a charcoal portrait."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:60/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/60/"", ""og:type"": ""website""}"
61,Thoughtful old woman,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Portrait of an elderly woman, looking relaxed and thoughtful, as she rests her chin on her left hand. Her eyes are large with bags beneath them, and she has a long, slightly bumpy nose with large nostrils and large lips. She has shoulder-length, curly white hair that is not bound, and her face is wr","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/61/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:61/full/730,/0/default.jpg",margo_data/images/0061.jpg,"{""title"": ""Thoughtful old woman"", ""titlea"": ""امرأة عجوز تفكر"", ""titleb"": ""Vieille femme réfléchie"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Portrait of an elderly woman, looking relaxed and thoughtful, as she rests her chin on her left hand. Her eyes are large with bags beneath them, and she has a long, slightly bumpy nose with large nostrils and large lips. She has shoulder-length, curly white hair that is not bound, and her face is wrinkled."", ""descra"": ""1979, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""49.4 cm x 37.5 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Thoughtful old woman"", ""og:description"": ""Portrait of an elderly woman, looking relaxed and thoughtful, as she rests her chin on her left hand. Her eyes are large with bags beneath them, and she has a long, slightly bumpy nose with large nostrils and large lips. She has shoulder-length, curly white hair that is not bound, and her face is wrinkled."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:61/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/61/"", ""og:type"": ""website""}"
62,Twins,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Two portraits of a woman with a long neck and hair hatched and blended and pulled back, positioned to the right of the portrait but looking directly at the viewer. She has a slightly haughty expression, although the second portrait, in the back, seems to have her looking more nervous. She has a larg","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/62/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:62/full/730,/0/default.jpg",margo_data/images/0062.jpg,"{""title"": ""Twins"", ""titlea"": ""التوأم"", ""titleb"": ""Le jumeau"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Two portraits of a woman with a long neck and hair hatched and blended and pulled back, positioned to the right of the portrait but looking directly at the viewer. She has a slightly haughty expression, although the second portrait, in the back, seems to have her looking more nervous. She has a large, bumpy nose and thin, pursed lips, and dark, thin eyebrows."", ""descra"": ""Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""47.7 cm x 43 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Twins"", ""og:description"": ""Two portraits of a woman with a long neck and hair hatched and blended and pulled back, positioned to the right of the portrait but looking directly at the viewer. She has a slightly haughty expression, although the second portrait, in the back, seems to have her looking more nervous. She has a large, bumpy nose and thin, pursed lips, and dark, thin eyebrows."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:62/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/62/"", ""og:type"": ""website""}"
63,Old lady,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Portrait of an old or middle-aged woman looking to the left of the portrait, very alert. Her hair is tied back. She has very large, stylized, expressive eyes, a long beak-like nose, and large lips, with a round but pronounced chin.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/63/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:63/full/730,/0/default.jpg",margo_data/images/0063.jpg,"{""title"": ""Old lady"", ""titlea"": ""السيدة العجوز"", ""titleb"": ""Vieille dame"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Portrait of an old or middle-aged woman looking to the left of the portrait, very alert. Her hair is tied back. She has very large, stylized, expressive eyes, a long beak-like nose, and large lips, with a round but pronounced chin."", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""48.8 cm x 39 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Old lady"", ""og:description"": ""Portrait of an old or middle-aged woman looking to the left of the portrait, very alert. Her hair is tied back. She has very large, stylized, expressive eyes, a long beak-like nose, and large lips, with a round but pronounced chin."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:63/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/63/"", ""og:type"": ""website""}"
64,Crystal eyes and crystal cup,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),A charcoal sketch of an older or middle-aged woman sipping from a cup. The sketch frames her from her breasts upwards. Her arm is visible. She is holding a glass against her lips and is looking curiously toward the left. She has wide curious eyes that are shaded to seem as though they sparkle. Her h,"American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/64/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:64/full/730,/0/default.jpg",margo_data/images/0064.jpg,"{""title"": ""Crystal eyes and crystal cup"", ""titlea"": ""عيون الكريستال وكأس الكريستال"", ""titleb"": ""Des yeux en cristal et une coupe en cristal"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""A charcoal sketch of an older or middle-aged woman sipping from a cup. The sketch frames her from her breasts upwards. Her arm is visible. She is holding a glass against her lips and is looking curiously toward the left. She has wide curious eyes that are shaded to seem as though they sparkle. Her hair is cut very short and curled. Her nose is small and pointed, and her eyebrows are arched and seem to be judging."", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""51.5 cm x 39.2 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Crystal eyes and crystal cup"", ""og:description"": ""A charcoal sketch of an older or middle-aged woman sipping from a cup. The sketch frames her from her breasts upwards. Her arm is visible. She is holding a glass against her lips and is looking curiously toward the left. She has wide curious eyes that are shaded to seem as though they sparkle. Her hair is cut very short and curled. Her nose is small and pointed, and her eyebrows are arched and seem to be judging."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:64/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/64/"", ""og:type"": ""website""}"
65,Woman with lipstick,Margo Veillon,,Margo Veillon Art Collection,pastels on cardboard,pastels (visual works),drawings (visual works),"Portrait of a woman looking to the bottom right of the portrait, her hair gathered in a bird's nest, with some strands hanging down. She is looking at something off-view with a pensive expression on her face. She has a short button nose and big, expressive eyes. Her lips are painted red, complimenti","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/65/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:65/full/730,/0/default.jpg",margo_data/images/0065.jpg,"{""title"": ""Woman with lipstick"", ""titlea"": ""امرأة مع أحمر الشفاه"", ""titleb"": ""Femme avec rouge à lèvres"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Portrait of a woman looking to the bottom right of the portrait, her hair gathered in a bird's nest, with some strands hanging down. She is looking at something off-view with a pensive expression on her face. She has a short button nose and big, expressive eyes. Her lips are painted red, complimenting a circle of red on her left breast. She is also wearing a red blouse."", ""descra"": ""Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""pastels on cardboard"", ""artwor"": ""37.7 cm x 51 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""pastels (visual works)"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Woman with lipstick"", ""og:description"": ""Portrait of a woman looking to the bottom right of the portrait, her hair gathered in a bird's nest, with some strands hanging down. She is looking at something off-view with a pensive expression on her face. She has a short button nose and big, expressive eyes. Her lips are painted red, complimenting a circle of red on her left breast. She is also wearing a red blouse."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:65/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/65/"", ""og:type"": ""website""}"
66,Look at sky,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"A charcoal sketch of a middle aged woman's side profile starring into the distance. She is facing the right. Her arms are crossed resting on her knees, the rest of her body isn't visible. She has a visible jawline, and a large circular earring. She is looking slightly above the horizon, lost in thou","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/66/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:66/full/730,/0/default.jpg",margo_data/images/0066.jpg,"{""title"": ""Look at sky"", ""titlea"": ""انظر الى السماء"", ""titleb"": ""Regarde le ciel"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""A charcoal sketch of a middle aged woman's side profile starring into the distance. She is facing the right. Her arms are crossed resting on her knees, the rest of her body isn't visible. She has a visible jawline, and a large circular earring. She is looking slightly above the horizon, lost in thought. her eyebrow is arche in a worried way and her mouth is a sad frown. She has a tight slick bun in the back of her head. She seems as though she is missing someone."", ""descra"": ""1981, Margo Veillon, V"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""49.9 cm x 69.7 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Look at sky"", ""og:description"": ""A charcoal sketch of a middle aged woman's side profile starring into the distance. She is facing the right. Her arms are crossed resting on her knees, the rest of her body isn't visible. She has a visible jawline, and a large circular earring. She is looking slightly above the horizon, lost in thought. her eyebrow is arche in a worried way and her mouth is a sad frown. She has a tight slick bun in the back of her head. She seems as though she is missing someone."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:66/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/66/"", ""og:type"": ""website""}"
67,Smile or grimace,Margo Veillon,,Margo Veillon Art Collection,charcoal and pastels on paper,charcoal drawings,mixed media works,"Charcoal and oil pastel side profile portrait of a man in his twenties or thirties looking to the right of the composition, his small mouth curving in a smile. He has short-cropped brown hair, and small, beady eyes with straight, thin eyebrows, and a very long, slightly bent nose. There are crow's f","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/67/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:67/full/730,/0/default.jpg",margo_data/images/0067.jpg,"{""title"": ""Smile or grimace"", ""titlea"": ""ابتسم أو كشر"", ""titleb"": ""Sourire ou Grimace"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Charcoal and oil pastel side profile portrait of a man in his twenties or thirties looking to the right of the composition, his small mouth curving in a smile. He has short-cropped brown hair, and small, beady eyes with straight, thin eyebrows, and a very long, slightly bent nose. There are crow's feet at the corners of his eyes."", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal and pastels on paper"", ""artwor"": ""66.3 cm x 50 cm"", ""medium"": ""mixed media works"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Smile or grimace"", ""og:description"": ""Charcoal and oil pastel side profile portrait of a man in his twenties or thirties looking to the right of the composition, his small mouth curving in a smile. He has short-cropped brown hair, and small, beady eyes with straight, thin eyebrows, and a very long, slightly bent nose. There are crow's feet at the corners of his eyes."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:67/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/67/"", ""og:type"": ""website""}"
68,Woman sitting on chair,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Charcoal sketch of woman sitting in an armchair. The chair is facing the right, and the woman has her legs crossed. Her calf is exposed, as she is wearing a simple skirt that ends right below her knee. She is also wearing pointed high heels, and a button down shirt that us not buttoned all the way u","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/68/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:68/full/730,/0/default.jpg",margo_data/images/0068.jpg,"{""title"": ""Woman sitting on chair"", ""titlea"": ""امرأة تجلس على كرسي"", ""titleb"": ""Femme assise sur une chaise"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Charcoal sketch of woman sitting in an armchair. The chair is facing the right, and the woman has her legs crossed. Her calf is exposed, as she is wearing a simple skirt that ends right below her knee. She is also wearing pointed high heels, and a button down shirt that us not buttoned all the way up. it hands on her right shoulder right above her breast. The woman has a slight smile and her hair is done in an updo."", ""descra"": ""Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""43.7 cm x 65.2 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Woman sitting on chair"", ""og:description"": ""Charcoal sketch of woman sitting in an armchair. The chair is facing the right, and the woman has her legs crossed. Her calf is exposed, as she is wearing a simple skirt that ends right below her knee. She is also wearing pointed high heels, and a button down shirt that us not buttoned all the way up. it hands on her right shoulder right above her breast. The woman has a slight smile and her hair is done in an updo."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:68/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/68/"", ""og:type"": ""website""}"
69,Exhaustion,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Charcoal portrait of a woman sitting on one chair while her feet are propped up on a chair opposite her. She is leaning forward, asleep, as her arms hang by her sides. Her left foot is crossed over her right ankle. She has a full body and is wearing a tight white nightgown. She has short, dark hair ","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/69/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:69/full/730,/0/default.jpg",margo_data/images/0069.jpg,"{""title"": ""Exhaustion"", ""titlea"": ""إنهاك"", ""titleb"": ""Epuisement"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Charcoal portrait of a woman sitting on one chair while her feet are propped up on a chair opposite her. She is leaning forward, asleep, as her arms hang by her sides. Her left foot is crossed over her right ankle. She has a full body and is wearing a tight white nightgown. She has short, dark hair and a round face."", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""50.2 cm x 69.5 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Exhaustion"", ""og:description"": ""Charcoal portrait of a woman sitting on one chair while her feet are propped up on a chair opposite her. She is leaning forward, asleep, as her arms hang by her sides. Her left foot is crossed over her right ankle. She has a full body and is wearing a tight white nightgown. She has short, dark hair and a round face."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:69/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/69/"", ""og:type"": ""website""}"
70,Artist at work,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Rough charcoal sketch of an artist standing before an easel and drawing on it. She is wearing a white shirt and wide-flared pants, and black loafers. She has long fair hair and a long, oval-shaped face, but her facial features are unclear. Next to the easel is a box of art supplies or paints.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/70/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:70/full/730,/0/default.jpg",margo_data/images/0070.jpg,"{""title"": ""Artist at work"", ""titlea"": ""فنان في العمل"", ""titleb"": ""Artiste au travail"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Rough charcoal sketch of an artist standing before an easel and drawing on it. She is wearing a white shirt and wide-flared pants, and black loafers. She has long fair hair and a long, oval-shaped face, but her facial features are unclear. Next to the easel is a box of art supplies or paints."", ""descra"": ""1977, III, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""46 cm x 67.6 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Artist at work"", ""og:description"": ""Rough charcoal sketch of an artist standing before an easel and drawing on it. She is wearing a white shirt and wide-flared pants, and black loafers. She has long fair hair and a long, oval-shaped face, but her facial features are unclear. Next to the easel is a box of art supplies or paints."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:70/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/70/"", ""og:type"": ""website""}"
71,Bellbotttoms in studio,Margo Veillon,,Margo Veillon Art Collection,charcoal on paper,charcoal drawings,drawings (visual works),"Rough charcoal sketch of an artist standing before an easel and extending his right hand to draw on it. Her head is slightly bent forward, pensive. She has neck-length fair hair that is swept back from her forehead. Her posture is slightly S-shaped. She is wearing a white dress shirt and wide, flare","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/71/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:71/full/730,/0/default.jpg",margo_data/images/0071.jpg,"{""title"": ""Bellbotttoms in studio"", ""titlea"": ""بيلبوتومس في الاستوديو"", ""titleb"": ""Bellbottoms dans le studio"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Rough charcoal sketch of an artist standing before an easel and extending his right hand to draw on it. Her head is slightly bent forward, pensive. She has neck-length fair hair that is swept back from her forehead. Her posture is slightly S-shaped. She is wearing a white dress shirt and wide, flared pants. It is implied that behind her, the studio is crowded and cluttered."", ""descra"": ""1977, III, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""charcoal on paper"", ""artwor"": ""43.5 cm x 68.8 cm"", ""medium"": ""drawings (visual works)"", ""type"": ""charcoal drawings"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Bellbotttoms in studio"", ""og:description"": ""Rough charcoal sketch of an artist standing before an easel and extending his right hand to draw on it. Her head is slightly bent forward, pensive. She has neck-length fair hair that is swept back from her forehead. Her posture is slightly S-shaped. She is wearing a white dress shirt and wide, flared pants. It is implied that behind her, the studio is crowded and cluttered."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:71/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/71/"", ""og:type"": ""website""}"
